base,e3_simpleascii,msB_simpleascii,msA_simpleascii,allen_simpleascii
e3_simpleascii:9.193,0,0,0,2
e3_simpleascii:9.194,0,0,8,0
e3_simpleascii:9.195,0,0,11,1
e3_simpleascii:9.196,0,0,0,0
e3_simpleascii:9.197,0,0,36,40
e3_simpleascii:9.198,0,0,6,0
e3_simpleascii:9.199,0,0,2,1
e3_simpleascii:9.200,0,0,14,1
e3_simpleascii:9.201,0,0,6,0
e3_simpleascii:9.202,0,0,0,0
e3_simpleascii:9.203,0,0,16,2
e3_simpleascii:9.204,0,0,2,0
e3_simpleascii:9.205,0,0,8,1
e3_simpleascii:9.206,0,0,0,0
e3_simpleascii:9.207,0,0,0,2
e3_simpleascii:9.208,0,0,8,0
e3_simpleascii:9.209,0,0,0,2
e3_simpleascii:9.210,0,0,11,5
e3_simpleascii:9.211,0,0,12,0
e3_simpleascii:9.212,0,0,0,0
e3_simpleascii:9.213,0,0,10,0
e3_simpleascii:9.214,0,0,20,1
e3_simpleascii:9.215,0,0,13,1
e3_simpleascii:9.216,0,0,0,0
e3_simpleascii:9.217,0,0,10,0
e3_simpleascii:9.218,0,0,5,1
e3_simpleascii:9.219,0,0,8,0
e3_simpleascii:9.220,0,0,15,1
e3_simpleascii:9.221,0,0,7,3
e3_simpleascii:9.222,0,0,5,0
e3_simpleascii:9.223,0,0,0,1
e3_simpleascii:9.224,0,0,0,2
e3_simpleascii:9.225,0,0,2,1
e3_simpleascii:9.226,0,0,5,5
e3_simpleascii:9.227,0,0,0,0
e3_simpleascii:9.228,0,0,8,2
e3_simpleascii:9.229,0,0,0,0
e3_simpleascii:9.230,0,0,9,0
e3_simpleascii:9.231,0,0,6,0
e3_simpleascii:9.232,0,0,0,0
e3_simpleascii:9.233,0,0,2,3
e3_simpleascii:9.234,0,0,8,3
e3_simpleascii:9.235,0,0,1,2
e3_simpleascii:9.236,0,0,1,1
e3_simpleascii:9.237,0,0,10,0
e3_simpleascii:9.238,0,0,2,2
e3_simpleascii:9.239,0,0,6,0
e3_simpleascii:9.240,0,0,5,0
e3_simpleascii:9.241,0,0,8,0
e3_simpleascii:9.242,0,0,6,1
e3_simpleascii:9.243,0,0,1,1
e3_simpleascii:9.244,0,0,6,1
e3_simpleascii:9.245,0,0,5,0
e3_simpleascii:9.246,0,0,11,0
